nation,year,sex,asdr
England,1969,Male,484.8791
England,1971,Male,472.1166
England,1973,Male,471.625
England,1975,Male,459.4817
England,1977,Male,445.1154
England,1979,Male,447.4339
England,1981,Male,418.1741
England,1983,Male,403.8525
England,1985,Male,384.1181
England,1987,Male,358.0857
England,1989,Male,329.2087
England,1991,Male,308.9631
England,1993,Male,293.3559
England,1994,Male,297.45388791766334
England,1995,Male,290.80934625545734
England,1996,Male,280.1810268820501
England,1997,Male,262.71616645518196
England,1998,Male,252.51517083471407
England,1999,Male,238.21970460912183
England,2000,Male,223.25040724713702
England,2001,Male,212.99730649088684
England,2002,Male,202.35960333164837
England,2003,Male,191.67468106557297
England,2004,Male,177.88466155820797
England,2005,Male,165.60360387228576
England,2006,Male,154.58346112669238
England,2007,Male,145.95099609791737
England,2008,Male,138.18578062428497
England,2009,Male,130.02851790304405
England,2010,Male,126.83052658765251
England,2011,Male,115.41215707038278
England,2012,Male,109.59611040462497
England,2013,Male,109.42573672185249
England,2014,Male,105.82842848998591
England,2015,Male,105.01728455906682
England,2016,Male,103.39994744870341
England,2017,Male,101.50610081654156
England,2018,Male,102.8119573239167
England,2019,Male,98.8927532193584
Wales,1969,Male,579.6231
Wales,1971,Male,548.804
Wales,1973,Male,543.9907
Wales,1975,Male,543.4694
Wales,1977,Male,521.0532
Wales,1979,Male,503.9591
Wales,1981,Male,469.3091
Wales,1983,Male,464.3927
Wales,1985,Male,433.3504
Wales,1987,Male,389.582
Wales,1989,Male,363.2601
Wales,1991,Male,336.9482
Wales,1993,Male,328.7413
Wales,1994,Male,324.1235225269961
Wales,1995,Male,322.8095121222974
Wales,1996,Male,309.91727482276985
Wales,1997,Male,298.0454540438779
Wales,1998,Male,278.2898760162549
Wales,1999,Male,275.4420037298612
Wales,2000,Male,247.89796263012846
Wales,2001,Male,240.4502212612804
Wales,2002,Male,229.94171506106466
Wales,2003,Male,219.21937890364654
Wales,2004,Male,191.62079652353208
Wales,2005,Male,189.72050814189683
Wales,2006,Male,172.62627669185875
Wales,2007,Male,160.94712493425848
Wales,2008,Male,152.1001771422302
Wales,2009,Male,146.5869430614441
Wales,2010,Male,136.87495865095647
Wales,2011,Male,130.8166879209298
Wales,2012,Male,124.57690681661612
Wales,2013,Male,126.43993895883649
Wales,2014,Male,117.56692338260228
Wales,2015,Male,125.33100111109911
Wales,2016,Male,120.24420273763833
Wales,2017,Male,123.37393455975922
Wales,2018,Male,120.2629731155126
Wales,2019,Male,119.02322094680454
Scotland,1969,Male,581.7431
Scotland,1971,Male,573.0029
Scotland,1973,Male,593.2709
Scotland,1975,Male,561.2882
Scotland,1977,Male,527.2775
Scotland,1979,Male,545.1229
Scotland,1981,Male,513.3663
Scotland,1983,Male,497.5551
Scotland,1985,Male,480.3106
Scotland,1987,Male,453.3888
Scotland,1989,Male,433.2839
Scotland,1991,Male,392.1519
Scotland,1993,Male,381.0044
Scotland,1994,Male,383.1413406472592
Scotland,1995,Male,369.6588922801287
Scotland,1996,Male,359.2557201712237
Scotland,1997,Male,337.90139202346006
Scotland,1998,Male,325.5008781848721
Scotland,1999,Male,307.1806153357754
Scotland,2000,Male,287.57695911871036
Scotland,2001,Male,263.9479410496672
Scotland,2002,Male,251.7417456640011
Scotland,2003,Male,244.22002132995104
Scotland,2004,Male,225.31725609881136
Scotland,2005,Male,213.86530510005184
Scotland,2006,Male,195.22295135881166
Scotland,2007,Male,198.09074355465535
Scotland,2008,Male,183.7278392933935
Scotland,2009,Male,163.64476830975897
Scotland,2010,Male,161.55557864147056
Scotland,2011,Male,151.11517536234368
Scotland,2012,Male,146.36310423410916
Scotland,2013,Male,143.16660618649178
Scotland,2014,Male,133.61417156748297
Scotland,2015,Male,139.62006808107265
Scotland,2016,Male,135.4504533811904
Scotland,2017,Male,133.77206780263433
Scotland,2018,Male,128.65855159966424
Scotland,2019,Male,125.30563093209811
Northern Ireland,1969,Male,566.1672
Northern Ireland,1971,Male,549.1797
Northern Ireland,1973,Male,576.451
Northern Ireland,1975,Male,567.0779
Northern Ireland,1977,Male,587.8397
Northern Ireland,1979,Male,582.8712
Northern Ireland,1981,Male,533.7618
Northern Ireland,1983,Male,494.577
Northern Ireland,1985,Male,472.9071
Northern Ireland,1987,Male,423.6093
Northern Ireland,1989,Male,403.7139
Northern Ireland,1991,Male,352.9485
Northern Ireland,1993,Male,346.1967
Northern Ireland,1994,Male,353.12702306392197
Northern Ireland,1995,Male,346.33528444940464
Northern Ireland,1996,Male,309.86119178531027
Northern Ireland,1997,Male,310.0359168788569
Northern Ireland,1998,Male,287.0489459908676
Northern Ireland,1999,Male,275.20036842229695
Northern Ireland,2000,Male,238.07276862590135
Northern Ireland,2001,Male,220.58164266703648
Northern Ireland,2002,Male,219.60182907222145
Northern Ireland,2003,Male,199.74997698313754
Northern Ireland,2004,Male,191.6961646139775
Northern Ireland,2005,Male,172.72817433612045
Northern Ireland,2006,Male,162.1060730966884
Northern Ireland,2007,Male,156.00338507269655
Northern Ireland,2008,Male,143.77382692006535
Northern Ireland,2009,Male,135.51012452130797
Northern Ireland,2010,Male,140.40722190646872
Northern Ireland,2011,Male,127.22047518670236
Northern Ireland,2012,Male,116.5302906448735
Northern Ireland,2013,Male,110.98463748575891
Northern Ireland,2014,Male,102.946139432366
Northern Ireland,2015,Male,104.13929255713326
Northern Ireland,2016,Male,100.1816852817865
Northern Ireland,2017,Male,103.36986699887152
Northern Ireland,2018,Male,96.27079358234121
Northern Ireland,2019,Male,96.44799168442826
England,1969,Female,237.8309
England,1971,Female,222.3471
England,1973,Female,222.2704
England,1975,Female,211.2226
England,1977,Female,202.9677
England,1979,Female,201.4916
England,1981,Female,186.5601
England,1983,Female,179.0945
England,1985,Female,170.4657
England,1987,Female,159.832
England,1989,Female,150.2915
England,1991,Female,140.6804
England,1993,Female,133.8235
England,1994,Female,137.01408309326123
England,1995,Female,133.33456064850574
England,1996,Female,129.76137833699002
England,1997,Female,122.769587754674
England,1998,Female,119.1734280979246
England,1999,Female,111.03552749147786
England,2000,Female,102.78282558960089
England,2001,Female,98.8621489546201
England,2002,Female,93.55841574826727
England,2003,Female,88.93178976094063
England,2004,Female,80.79322036867892
England,2005,Female,75.93285916266987
England,2006,Female,71.33259081347491
England,2007,Female,66.43607782054848
England,2008,Female,63.153620853397015
England,2009,Female,57.46755371307107
England,2010,Female,55.90006490432651
England,2011,Female,51.64789448890563
England,2012,Female,50.681127252383575
England,2013,Female,48.5928251832207
England,2014,Female,46.943266784553785
England,2015,Female,47.92001268417989
England,2016,Female,46.94418555406207
England,2017,Female,45.33072591771283
England,2018,Female,45.49006758533238
England,2019,Female,43.77500297125035
Wales,1969,Female,286.3763
Wales,1971,Female,263.0812
Wales,1973,Female,265.1608
Wales,1975,Female,252.848
Wales,1977,Female,244.7049
Wales,1979,Female,230.1999
Wales,1981,Female,210.3645
Wales,1983,Female,205.9911
Wales,1985,Female,193.7119
Wales,1987,Female,181.3288
Wales,1989,Female,171.2279
Wales,1991,Female,149.9071
Wales,1993,Female,148.6253
Wales,1994,Female,155.04409205353284
Wales,1995,Female,150.21613810346915
Wales,1996,Female,143.48027820422274
Wales,1997,Female,141.39705697848265
Wales,1998,Female,129.09782194366858
Wales,1999,Female,123.65490689379293
Wales,2000,Female,115.71402430989204
Wales,2001,Female,115.4705857195114
Wales,2002,Female,109.15507755581224
Wales,2003,Female,101.78579012080466
Wales,2004,Female,96.28057501198708
Wales,2005,Female,88.6722600668981
Wales,2006,Female,79.3725845204174
Wales,2007,Female,77.6435412878113
Wales,2008,Female,73.36905165207827
Wales,2009,Female,70.22686498694337
Wales,2010,Female,64.08247601979298
Wales,2011,Female,63.57984901085007
Wales,2012,Female,59.92845726128563
Wales,2013,Female,57.252279434907074
Wales,2014,Female,54.979913144121916
Wales,2015,Female,59.420450989093695
Wales,2016,Female,56.84660094581729
Wales,2017,Female,51.59909963711306
Wales,2018,Female,55.55136430197735
Wales,2019,Female,52.82647882642732
Scotland,1969,Female,320.2966
Scotland,1971,Female,295.995
Scotland,1973,Female,296.5946
Scotland,1975,Female,275.6606
Scotland,1977,Female,267.6599
Scotland,1979,Female,274.7326
Scotland,1981,Female,259.351
Scotland,1983,Female,246.3491
Scotland,1985,Female,240.9514
Scotland,1987,Female,223.9337
Scotland,1989,Female,217.1085
Scotland,1991,Female,196.3694
Scotland,1993,Female,186.2654
Scotland,1994,Female,190.65673451467023
Scotland,1995,Female,181.5490820543763
Scotland,1996,Female,170.26032074891714
Scotland,1997,Female,167.6917250166112
Scotland,1998,Female,157.99965031504104
Scotland,1999,Female,149.20483177274446
Scotland,2000,Female,138.33239973331672
Scotland,2001,Female,128.60223792878952
Scotland,2002,Female,125.69976923485602
Scotland,2003,Female,116.69870009394211
Scotland,2004,Female,108.52907914805421
Scotland,2005,Female,102.13821912109246
Scotland,2006,Female,97.18368549834085
Scotland,2007,Female,91.55309098905295
Scotland,2008,Female,86.31642896971609
Scotland,2009,Female,79.9948620031527
Scotland,2010,Female,74.73811718811533
Scotland,2011,Female,70.60054953304228
Scotland,2012,Female,70.30155166708755
Scotland,2013,Female,68.00940491511557
Scotland,2014,Female,62.284827774047855
Scotland,2015,Female,65.39911917548538
Scotland,2016,Female,65.01928994917984
Scotland,2017,Female,63.79366834730874
Scotland,2018,Female,60.31227255399452
Scotland,2019,Female,60.94964366425523
Northern Ireland,1969,Female,311.6622
Northern Ireland,1971,Female,293.646
Northern Ireland,1973,Female,303.6658
Northern Ireland,1975,Female,281.985
Northern Ireland,1977,Female,278.4001
Northern Ireland,1979,Female,278.889
Northern Ireland,1981,Female,244.7958
Northern Ireland,1983,Female,241.9033
Northern Ireland,1985,Female,228.4953
Northern Ireland,1987,Female,200.1055
Northern Ireland,1989,Female,185.2134
Northern Ireland,1991,Female,168.4353
Northern Ireland,1993,Female,160.8425
Northern Ireland,1994,Female,172.61693630959223
Northern Ireland,1995,Female,170.29847939961036
Northern Ireland,1996,Female,152.27609221930356
Northern Ireland,1997,Female,142.14761260453088
Northern Ireland,1998,Female,128.85682489295368
Northern Ireland,1999,Female,125.43242370408088
Northern Ireland,2000,Female,111.59582459478125
Northern Ireland,2001,Female,106.02646140126618
Northern Ireland,2002,Female,103.59301128107774
Northern Ireland,2003,Female,86.87452389103187
Northern Ireland,2004,Female,89.52375780840777
Northern Ireland,2005,Female,82.17940216093945
Northern Ireland,2006,Female,81.39735282693056
Northern Ireland,2007,Female,71.19999254629951
Northern Ireland,2008,Female,71.79578552224262
Northern Ireland,2009,Female,68.19871416437775
Northern Ireland,2010,Female,64.17381380018278
Northern Ireland,2011,Female,51.77571026814502
Northern Ireland,2012,Female,46.39036829648616
Northern Ireland,2013,Female,50.4095950793705
Northern Ireland,2014,Female,48.141872763820245
Northern Ireland,2015,Female,50.62744059792073
Northern Ireland,2016,Female,49.36022670416546
Northern Ireland,2017,Female,46.9361716465134
Northern Ireland,2018,Female,45.44088198134596
Northern Ireland,2019,Female,44.63390921646265
United Kingdom,1969,Male,500.3216
United Kingdom,1971,Male,486.7595
United Kingdom,1973,Male,488.4594
United Kingdom,1975,Male,475.213
United Kingdom,1977,Male,459.4052
United Kingdom,1979,Male,461.9152
United Kingdom,1981,Male,431.7125
United Kingdom,1983,Male,417.1803
United Kingdom,1985,Male,396.983
United Kingdom,1987,Male,369.4169
United Kingdom,1989,Male,341.7404
United Kingdom,1991,Male,318.6877
United Kingdom,1993,Male,304.0546
United Kingdom,1994,Male,307.53693504483095
United Kingdom,1995,Male,300.6847476575741
United Kingdom,1996,Male,289.3313000510502
United Kingdom,1997,Male,272.28756553139874
United Kingdom,1998,Male,261.087040606487
United Kingdom,1999,Male,247.0937443473443
United Kingdom,2000,Male,230.50458504082272
United Kingdom,2001,Male,219.05086173391743
United Kingdom,2002,Male,208.54342639409265
United Kingdom,2003,Male,197.91472507765354
United Kingdom,2004,Male,183.06728092936316
United Kingdom,2005,Male,171.28616572137966
United Kingdom,2006,Male,159.26761713970845
United Kingdom,2007,Male,151.5750700392259
United Kingdom,2008,Male,143.0449188864486
United Kingdom,2009,Male,133.98060570234477
United Kingdom,2010,Male,130.7396844530028
United Kingdom,2011,Male,119.62058390272597
United Kingdom,2012,Male,113.76553541362551
United Kingdom,2013,Male,113.28442943355671
United Kingdom,2014,Male,108.75789816502429
United Kingdom,2015,Male,108.9983729813348
United Kingdom,2016,Male,106.90582157511174
United Kingdom,2017,Male,105.42877420616723
United Kingdom,2018,Male,105.73214364434997
United Kingdom,2019,Male,102.95154792134386
United Kingdom,1969,Female,249.6288
United Kingdom,1971,Female,232.8736
United Kingdom,1973,Female,233.1886
United Kingdom,1975,Female,220.9392
United Kingdom,1977,Female,212.794
United Kingdom,1979,Female,211.4678
United Kingdom,1981,Female,195.786
United Kingdom,1983,Female,188.0748
United Kingdom,1985,Female,179.4513
United Kingdom,1987,Female,167.7208
United Kingdom,1989,Female,158.3231
United Kingdom,1991,Female,146.9446
United Kingdom,1993,Female,140.0387
United Kingdom,1994,Female,143.7400656919512
United Kingdom,1995,Female,139.55411790691284
United Kingdom,1996,Female,134.76423818136286
United Kingdom,1997,Female,128.357825505834
United Kingdom,1998,Female,123.53753240458026
