nation,year,sex,asdr
England,1969,Male,1244.672
England,1971,Male,1210.023
England,1973,Male,1208.624
England,1975,Male,1177.919
England,1977,Male,1113.824
England,1979,Male,1121.234
England,1981,Male,1045.817
England,1983,Male,1008.379
England,1985,Male,993.8508
England,1987,Male,913.5312
England,1989,Male,867.0881
England,1991,Male,839.7933
England,1993,Male,805.2338
England,1994,Male,748.792240278894
England,1995,Male,737.508981917286
England,1996,Male,721.0483230857676
England,1997,Male,684.7463264395378
England,1998,Male,664.9245686727699
England,1999,Male,637.0943348049076
England,2000,Male,600.7826156348198
England,2001,Male,612.1147366806991
England,2002,Male,598.9953738371478
England,2003,Male,574.1566059691771
England,2004,Male,532.7129934257122
England,2005,Male,503.6169074247536
England,2006,Male,473.0825134407447
England,2007,Male,451.00329227333754
England,2008,Male,439.545232354601
England,2009,Male,410.7963582437961
England,2010,Male,399.18386665219055
England,2011,Male,361.16944846815005
England,2012,Male,354.8992936442399
England,2013,Male,352.44221621361123
England,2014,Male,338.29164719665096
England,2015,Male,341.148825408052
England,2016,Male,326.06060123465596
England,2017,Male,321.25903295573517
England,2018,Male,314.96816078891624
England,2019,Male,301.80926467222787
Wales,1969,Male,1476.417
Wales,1971,Male,1371.791
Wales,1973,Male,1363.144
Wales,1975,Male,1316.514
Wales,1977,Male,1240.112
Wales,1979,Male,1228.97
Wales,1981,Male,1136.534
Wales,1983,Male,1127.466
Wales,1985,Male,1083.121
Wales,1987,Male,973.0492
Wales,1989,Male,929.1026
Wales,1991,Male,878.2542
Wales,1993,Male,855.0098
Wales,1994,Male,784.1753390123906
Wales,1995,Male,798.7051660319908
Wales,1996,Male,772.7672666123965
Wales,1997,Male,740.5906417972542
Wales,1998,Male,704.7485804168435
Wales,1999,Male,697.0788257345394
Wales,2000,Male,646.9186548646392
Wales,2001,Male,666.6870911941181
Wales,2002,Male,638.54693280971
Wales,2003,Male,645.8397923102872
Wales,2004,Male,559.7604744991125
Wales,2005,Male,558.113086051941
Wales,2006,Male,510.14896327077105
Wales,2007,Male,495.8809964338804
Wales,2008,Male,487.58902027602164
Wales,2009,Male,446.8832504442827
Wales,2010,Male,444.8998561232072
Wales,2011,Male,442.0315278259612
Wales,2012,Male,448.18979175563743
Wales,2013,Male,404.2620856356673
Wales,2014,Male,370.7851930077387
Wales,2015,Male,371.0564274452485
Wales,2016,Male,360.10232808598624
Wales,2017,Male,351.6021259123245
Wales,2018,Male,352.95989181566824
Wales,2019,Male,334.65596790614165
Scotland,1969,Male,1480.651
Scotland,1971,Male,1417.176
Scotland,1973,Male,1455.633
Scotland,1975,Male,1381.333
Scotland,1977,Male,1297.085
Scotland,1979,Male,1344.063
Scotland,1981,Male,1248.126
Scotland,1983,Male,1186.436
Scotland,1985,Male,1163.32
Scotland,1987,Male,1096.724
Scotland,1989,Male,1075.569
Scotland,1991,Male,971.6486
Scotland,1993,Male,987.1288
Scotland,1994,Male,906.8255093906056
Scotland,1995,Male,882.9103808337363
Scotland,1996,Male,887.1490060326925
Scotland,1997,Male,838.7794983140233
Scotland,1998,Male,801.6296568198253
Scotland,1999,Male,796.027191929829
Scotland,2000,Male,741.7015049809305
Scotland,2001,Male,695.7043943463289
Scotland,2002,Male,700.5473675850287
Scotland,2003,Male,696.9174724280274
Scotland,2004,Male,648.5810695876232
Scotland,2005,Male,605.6002508196149
Scotland,2006,Male,561.6534997127209
Scotland,2007,Male,564.773109121379
Scotland,2008,Male,524.8349197588005
Scotland,2009,Male,490.854999315337
Scotland,2010,Male,482.94974199325054
Scotland,2011,Male,451.49636393206
Scotland,2012,Male,436.0017075267376
Scotland,2013,Male,432.16127451094127
Scotland,2014,Male,414.20401685832456
Scotland,2015,Male,433.50539171395405
Scotland,2016,Male,413.58458903778626
Scotland,2017,Male,410.3941130098968
Scotland,2018,Male,404.1731873304333
Scotland,2019,Male,389.63471352543826
Northern Ireland,1969,Male,1423.198
Northern Ireland,1971,Male,1508.222
Northern Ireland,1973,Male,1545.672
Northern Ireland,1975,Male,1427.916
Northern Ireland,1977,Male,1509.581
Northern Ireland,1979,Male,1435.116
Northern Ireland,1981,Male,1247.311
Northern Ireland,1983,Male,1142.095
Northern Ireland,1985,Male,1061.943
Northern Ireland,1987,Male,990.8415
Northern Ireland,1989,Male,962.9438
Northern Ireland,1991,Male,865.9388
Northern Ireland,1993,Male,864.5191
Northern Ireland,1994,Male,848.2946492854875
Northern Ireland,1995,Male,834.1402590169531
Northern Ireland,1996,Male,789.0554156298791
Northern Ireland,1997,Male,773.8398764574015
Northern Ireland,1998,Male,735.9984814816797
Northern Ireland,1999,Male,731.478460800771
Northern Ireland,2000,Male,652.5780202532568
Northern Ireland,2001,Male,659.3940102604712
Northern Ireland,2002,Male,629.0461892856042
Northern Ireland,2003,Male,592.009618211997
Northern Ireland,2004,Male,561.144189643209
Northern Ireland,2005,Male,535.1447513334747
Northern Ireland,2006,Male,494.0975464534505
Northern Ireland,2007,Male,499.6935999322498
Northern Ireland,2008,Male,479.41157863265386
Northern Ireland,2009,Male,436.66629422242227
Northern Ireland,2010,Male,430.53973169040785
Northern Ireland,2011,Male,389.2343736608931
Northern Ireland,2012,Male,372.74295750796
Northern Ireland,2013,Male,362.4799061580679
Northern Ireland,2014,Male,343.1125011245778
Northern Ireland,2015,Male,342.1170092753374
Northern Ireland,2016,Male,318.9001907401456
Northern Ireland,2017,Male,335.09744519811517
Northern Ireland,2018,Male,313.0109532644644
Northern Ireland,2019,Male,310.84180661439507
England,1969,Female,861.0868
England,1971,Female,816.6653
England,1973,Female,820.6245
England,1975,Female,783.9282
England,1977,Female,739.9105
England,1979,Female,732.6768
England,1981,Female,678.0071
England,1983,Female,648.2121
England,1985,Female,641.4048
England,1987,Female,585.2421
England,1989,Female,562.0878
England,1991,Female,542.7046
England,1993,Female,521.2796
England,1994,Female,485.7970902985223
England,1995,Female,477.4457854639327
England,1996,Female,468.6846441901858
England,1997,Female,448.89899192627956
England,1998,Female,440.8409429955053
England,1999,Female,421.25247689335436
England,2000,Female,394.7374602768325
England,2001,Female,405.4800819772493
England,2002,Female,398.24908079551295
England,2003,Female,391.75540369918815
England,2004,Female,359.78338319633366
England,2005,Female,341.0327092197865
England,2006,Female,319.16428956523305
England,2007,Female,307.433174466423
England,2008,Female,303.1404888026271
England,2009,Female,280.5555927216362
England,2010,Female,270.9519728982443
England,2011,Female,249.46093230203613
England,2012,Female,247.64093445930914
England,2013,Female,240.090321225644
England,2014,Female,228.12374903854328
England,2015,Female,233.26096623615487
England,2016,Female,220.41604986828773
England,2017,Female,217.66793353319233
England,2018,Female,210.47309321988627
England,2019,Female,200.1282624460687
Wales,1969,Female,985.1595
Wales,1971,Female,914.2638
Wales,1973,Female,913.3247
Wales,1975,Female,864.3564
Wales,1977,Female,822.7763
Wales,1979,Female,796.6865
Wales,1981,Female,736.5446
Wales,1983,Female,701.0422
Wales,1985,Female,687.5814
Wales,1987,Female,617.6284
Wales,1989,Female,607.6109
Wales,1991,Female,563.0481
Wales,1993,Female,568.3716
Wales,1994,Female,521.7396591900174
Wales,1995,Female,525.007589722796
Wales,1996,Female,514.6074591305004
Wales,1997,Female,485.8880324868594
Wales,1998,Female,469.18328502351363
Wales,1999,Female,464.28617585206837
Wales,2000,Female,436.8565341385138
Wales,2001,Female,452.57361735411735
Wales,2002,Female,445.33563139908495
Wales,2003,Female,428.8963349902928
Wales,2004,Female,397.7116180187905
Wales,2005,Female,384.5868586961601
Wales,2006,Female,351.68884237105516
Wales,2007,Female,348.66764533922293
Wales,2008,Female,334.9550447068834
Wales,2009,Female,315.4129038672314
Wales,2010,Female,302.5931275826069
Wales,2011,Female,277.8780625829228
Wales,2012,Female,276.6600115641694
Wales,2013,Female,265.24576614340657
Wales,2014,Female,250.3971574858196
Wales,2015,Female,259.31312721067167
Wales,2016,Female,245.1424110776246
Wales,2017,Female,231.41982265163432
Wales,2018,Female,232.49267307761124
Wales,2019,Female,222.554039367656
Scotland,1969,Female,1065.593
Scotland,1971,Female,976.5259
Scotland,1973,Female,994.9348
Scotland,1975,Female,918.991
Scotland,1977,Female,870.511
Scotland,1979,Female,888.612
Scotland,1981,Female,814.3022
Scotland,1983,Female,777.9233
Scotland,1985,Female,762.6289
Scotland,1987,Female,716.7131
Scotland,1989,Female,706.2087
Scotland,1991,Female,652.7794
Scotland,1993,Female,663.4879
Scotland,1994,Female,610.124041199437
Scotland,1995,Female,603.4038942791186
Scotland,1996,Female,581.0116577088804
Scotland,1997,Female,569.444092015057
Scotland,1998,Female,547.6952527033528
Scotland,1999,Female,534.8323149065038
Scotland,2000,Female,504.6169001724574
Scotland,2001,Female,482.482614586402
Scotland,2002,Female,490.9196636192982
Scotland,2003,Female,469.8155016681487
Scotland,2004,Female,448.6948153553279
Scotland,2005,Female,425.8002362455538
Scotland,2006,Female,398.33240853882114
Scotland,2007,Female,383.76960895800397
Scotland,2008,Female,376.6247430707627
Scotland,2009,Female,352.66925865688575
Scotland,2010,Female,333.1258946334355
Scotland,2011,Female,319.3102870674371
Scotland,2012,Female,321.13486232394865
Scotland,2013,Female,306.0665464103354
Scotland,2014,Female,289.67768113916134
Scotland,2015,Female,307.9125292291263
Scotland,2016,Female,287.9332118117526
Scotland,2017,Female,290.23776231704505
Scotland,2018,Female,279.99361805709066
Scotland,2019,Female,274.7350342581933
Northern Ireland,1969,Female,1061.935
Northern Ireland,1971,Female,1029.305
Northern Ireland,1973,Female,1046.811
Northern Ireland,1975,Female,960.981
Northern Ireland,1977,Female,969.1129
Northern Ireland,1979,Female,903.8564
Northern Ireland,1981,Female,785.722
Northern Ireland,1983,Female,742.8849
Northern Ireland,1985,Female,713.142
Northern Ireland,1987,Female,651.5502
Northern Ireland,1989,Female,614.9804
Northern Ireland,1991,Female,565.1122
Northern Ireland,1993,Female,558.3378
Northern Ireland,1994,Female,570.2572301883081
Northern Ireland,1995,Female,546.5319462946989
Northern Ireland,1996,Female,520.7790050589488
Northern Ireland,1997,Female,497.0043897519678
Northern Ireland,1998,Female,486.01311981650514
Northern Ireland,1999,Female,499.0175791353615
Northern Ireland,2000,Female,443.4152685571628
Northern Ireland,2001,Female,447.20152633827524
Northern Ireland,2002,Female,436.5455417221155
Northern Ireland,2003,Female,407.0987812799388
Northern Ireland,2004,Female,385.7168910480999
Northern Ireland,2005,Female,353.70919232224475
Northern Ireland,2006,Female,347.42331995494857
Northern Ireland,2007,Female,329.09913230206763
Northern Ireland,2008,Female,320.10269200078125
Northern Ireland,2009,Female,300.20402035855705
Northern Ireland,2010,Female,284.64428752822135
Northern Ireland,2011,Female,257.1587375112918
Northern Ireland,2012,Female,261.0555311531829
Northern Ireland,2013,Female,248.80517002034884
Northern Ireland,2014,Female,228.66413702575053
Northern Ireland,2015,Female,229.79512326239288
Northern Ireland,2016,Female,219.47499153274651
Northern Ireland,2017,Female,218.1734758779583
Northern Ireland,2018,Female,208.5571668865114
Northern Ireland,2019,Female,204.2705691286237
United Kingdom,1969,Male,1281.33
United Kingdom,1971,Male,1243.039
United Kingdom,1973,Male,1245.286
United Kingdom,1975,Male,1208.082
United Kingdom,1977,Male,1144.708
United Kingdom,1979,Male,1152.453
United Kingdom,1981,Male,1072.028
United Kingdom,1983,Male,1032.347
United Kingdom,1985,Male,1014.001
United Kingdom,1987,Male,933.3807
United Kingdom,1989,Male,889.7076
United Kingdom,1991,Male,853.4993
United Kingdom,1993,Male,824.1526
United Kingdom,1994,Male,764.062675924285
United Kingdom,1995,Male,753.1978130576658
United Kingdom,1996,Male,737.2328707937718
United Kingdom,1997,Male,700.7363507878267
United Kingdom,1998,Male,678.6695717372093
United Kingdom,1999,Male,654.0448585386081
United Kingdom,2000,Male,614.9168787717558
United Kingdom,2001,Male,622.9103184478165
United Kingdom,2002,Male,609.7261535952489
United Kingdom,2003,Male,587.7769362653802
United Kingdom,2004,Male,544.0085874542851
United Kingdom,2005,Male,515.5038689907648
United Kingdom,2006,Male,482.5937991223112
United Kingdom,2007,Male,463.56643257325067
United Kingdom,2008,Male,449.93934966793773
United Kingdom,2009,Male,419.6599945278253
United Kingdom,2010,Male,409.0994221776804
United Kingdom,2011,Male,373.1010610907334
United Kingdom,2012,Male,366.5774612362971
United Kingdom,2013,Male,361.8513217482268
United Kingdom,2014,Male,346.1618120417644
United Kingdom,2015,Male,350.08900544701055
United Kingdom,2016,Male,334.59857031324424
United Kingdom,2017,Male,330.3191457515281
United Kingdom,2018,Male,323.9043145096399
United Kingdom,2019,Male,311.7617666906434
United Kingdom,1969,Female,888.8349
United Kingdom,1971,Female,839.5088
United Kingdom,1973,Female,844.8082
United Kingdom,1975,Female,803.4622
United Kingdom,1977,Female,760.3115
United Kingdom,1979,Female,753.2733
United Kingdom,1981,Female,695.4315
United Kingdom,1983,Female,664.4509
United Kingdom,1985,Female,656.1572
United Kingdom,1987,Female,599.9681
United Kingdom,1989,Female,578.3533
United Kingdom,1991,Female,554.0121
United Kingdom,1993,Female,536.872
United Kingdom,1994,Female,499.25403622968423
United Kingdom,1995,Female,491.4397977864243
United Kingdom,1996,Female,481.0522114972897
United Kingdom,1997,Female,461.36711279955847
United Kingdom,1998,Female,451.6341136861055
United Kingdom,1999,Female,434.2153213304034
United Kingdom,2000,Female,406.7413122467123
United Kingdom,2001,Female,415.46530957398414
United Kingdom,2002,Female,409.35011277323724
United Kingdom,2003,Female,400.48743686508243
United Kingdom,2004,Female,369.85736285325333
United Kingdom,2005,Female,350.772003203224
United Kingdom,2006,Female,328.2118235216561
United Kingdom,2007,Female,316.5193864368172
United Kingdom,2008,Female,311.43316131113204
United Kingdom,2009,Female,288.8643404194563
United Kingdom,2010,Female,278.23359420180986
United Kingdom,2011,Female,257.0561747771123
United Kingdom,2012,Female,255.68989812068813
United Kingdom,2013,Female,247.17441525521022
United Kingdom,2014,Female,234.44911194722417
United Kingdom,2015,Female,240.6785298814126
United Kingdom,2016,Female,227.27721744890812
United Kingdom,2017,Female,224.3962695130466
United Kingdom,2018,Female,217.29672734074165
United Kingdom,2019,Female,208.02904905851926
