Nation,Year,Age,Sex,Risk Factors,Prevalence (000s),Prevalence (%)
England,2019,16-24,Male,High blood pressure,x,x
England,2019,25-34,Male,High blood pressure,300.4826474733649,7.845499934030414
England,2019,35-44,Male,High blood pressure,480,13.395568365940662
England,2019,45-54,Male,High blood pressure,1080,28.674757471204785
England,2019,55-64,Male,High blood pressure,1600,48.043679662531304
England,2019,65-74,Male,High blood pressure,1560,58.170579963734504
England,2019,75+,Male,High blood pressure,1390,67.64387657187518
England,2019,All Adults,Male,High blood pressure,6400,30.376304925700122
England,2019,16-24,Female,High blood pressure,x,x
England,2019,25-34,Female,High blood pressure,240,6.246972946420341
England,2019,35-44,Female,High blood pressure,310,8.622589183076087
England,2019,45-54,Female,High blood pressure,850,21.932106530084916
England,2019,55-64,Female,High blood pressure,1100,32.58345196112779
England,2019,65-74,Female,High blood pressure,1500,50.58811298798253
England,2019,75+,Female,High blood pressure,1800,65.40837914774083
England,2019,All Adults,Female,High blood pressure,5800,25.428710597922866
England,2019,16-24,All,High blood pressure,x,x
England,2019,25-34,All,High blood pressure,540,7.041102904637818
England,2019,35-44,All,High blood pressure,790,11.114953845820878
England,2019,45-54,All,High blood pressure,1900,25.32404388395078
England,2019,55-64,All,High blood pressure,2700,40.30835611477488
England,2019,65-74,All,High blood pressure,3000,54.129871336280836
England,2019,75+,All,High blood pressure,3200,66.39256459586139
England,2019,All Adults,All,High blood pressure,12200,27.877906668139047
Scotland,2018/19,16-24,Male,High blood pressure,5.84,2
Scotland,2018/19,25-34,Male,High blood pressure,29.92,8
Scotland,2018/19,35-44,Male,High blood pressure,29.61,9
Scotland,2018/19,45-54,Male,High blood pressure,120,33
Scotland,2018/19,55-64,Male,High blood pressure,180,49
Scotland,2018/19,65-74,Male,High blood pressure,170,62
Scotland,2018/19,75+,Male,High blood pressure,120,63
Scotland,2018/19,All Adults,Male,High blood pressure,660,31
Scotland,2018/19,16-24,Female,High blood pressure,0,0
Scotland,2018/19,25-34,Female,High blood pressure,20,5
Scotland,2018/19,35-44,Female,High blood pressure,40,12
Scotland,2018/19,45-54,Female,High blood pressure,70,18
Scotland,2018/19,55-64,Female,High blood pressure,159.6,42
Scotland,2018/19,65-74,Female,High blood pressure,180,58
Scotland,2018/19,75+,Female,High blood pressure,210,78
Scotland,2018/19,All Adults,Female,High blood pressure,680,29
