cause,gender,age_group,deaths
All causes,male,All ages ,301579
All causes,male,Under 35,7360
All causes,male,35-44,6239
All causes,male,45-54,14881
All causes,male,55-64,29162
All causes,male,65-74,58832
All causes,male,75-84,91789
All causes,male,85+,93316
All causes,female,All ages ,303128
All causes,female,Under 35,4171
All causes,female,35-44,3818
All causes,female,45-54,9779
All causes,female,55-64,20167
All causes,female,65-74,42411
All causes,female,75-84,80732
All causes,female,85+,142050
All heart and circulatory diseases,male,All ages ,84742
All heart and circulatory diseases,male,Under 35,535
All heart and circulatory diseases,male,35-44,1096
All heart and circulatory diseases,male,45-54,3840
All heart and circulatory diseases,male,55-64,8009
All heart and circulatory diseases,male,65-74,15852
All heart and circulatory diseases,male,75-84,26556
All heart and circulatory diseases,male,85+,28854
All heart and circulatory diseases,female,All ages ,79146
All heart and circulatory diseases,female,Under 35,371
All heart and circulatory diseases,female,35-44,460
All heart and circulatory diseases,female,45-54,1417
All heart and circulatory diseases,female,55-64,3442
All heart and circulatory diseases,female,65-74,8229
All heart and circulatory diseases,female,75-84,21255
All heart and circulatory diseases,female,85+,43972
Diseases of the circulatory system,male,All ages ,78176
Diseases of the circulatory system,male,Under 35,421
Diseases of the circulatory system,male,35-44,1060
Diseases of the circulatory system,male,45-54,3818
Diseases of the circulatory system,male,55-64,7938
Diseases of the circulatory system,male,65-74,15406
Diseases of the circulatory system,male,75-84,24304
Diseases of the circulatory system,male,85+,25229
Diseases of the circulatory system,female,All ages ,69692
Diseases of the circulatory system,female,Under 35,278
Diseases of the circulatory system,female,35-44,452
Diseases of the circulatory system,female,45-54,1387
Diseases of the circulatory system,female,55-64,3393
Diseases of the circulatory system,female,65-74,7963
Diseases of the circulatory system,female,75-84,19051
Diseases of the circulatory system,female,85+,37168
Chronic rheumatic heart diseases,male,All ages ,323
Chronic rheumatic heart diseases,male,Under 35,4
Chronic rheumatic heart diseases,male,35-44,7
Chronic rheumatic heart diseases,male,45-54,13
Chronic rheumatic heart diseases,male,55-64,21
Chronic rheumatic heart diseases,male,65-74,54
Chronic rheumatic heart diseases,male,75-84,107
Chronic rheumatic heart diseases,male,85+,117
Chronic rheumatic heart diseases,female,All ages ,576
Chronic rheumatic heart diseases,female,Under 35,2
Chronic rheumatic heart diseases,female,35-44,8
Chronic rheumatic heart diseases,female,45-54,18
Chronic rheumatic heart diseases,female,55-64,30
Chronic rheumatic heart diseases,female,65-74,78
Chronic rheumatic heart diseases,female,75-84,203
Chronic rheumatic heart diseases,female,85+,237
