nation,fin_year,disease,admits_all_cvd
UK,2005/06,cvd,
UK,2006/07,cvd,
UK,2007/08,cvd,
UK,2008/09,cvd,
UK,2009/10,cvd,
UK,2010/11,cvd,
UK,2011/12,cvd,1126145
UK,2012/13,cvd,1109777
UK,2013/14,cvd,1126470
UK,2014/15,cvd,1140665
UK,2015/16,cvd,1173042
UK,2016/17,cvd,1084558
UK,2017/18,cvd,1088217
UK,2018/19,cvd,1113349
UK,2019/20,cvd,1127647.9430584323
England,2005/06,cvd,
England,2006/07,cvd,
England,2007/08,cvd,897843
England,2008/09,cvd,917317
England,2009/10,cvd,925007
England,2010/11,cvd,936007
England,2011/12,cvd,941880
England,2012/13,cvd,930641
England,2013/14,cvd,944753
England,2014/15,cvd,962129
England,2015/16,cvd,994450
England,2016/17,cvd,918298
England,2017/18,cvd,925576
England,2018/19,cvd,947200
England,2019/20,cvd,963782.9430584323
Wales,2005/06,cvd,54249
Wales,2006/07,cvd,54906
Wales,2007/08,cvd,55272
Wales,2008/09,cvd,56997
Wales,2009/10,cvd,56032
Wales,2010/11,cvd,55059
Wales,2011/12,cvd,53577
Wales,2012/13,cvd,52671
Wales,2013/14,cvd,53665
Wales,2014/15,cvd,52852
Wales,2015/16,cvd,53087
Wales,2016/17,cvd,49424
Wales,2017/18,cvd,46917
Wales,2018/19,cvd,49390
Wales,2019/20,cvd,48261
Scotland,2005/06,cvd,
Scotland,2006/07,cvd,
Scotland,2007/08,cvd,
Scotland,2008/09,cvd,94096
Scotland,2009/10,cvd,91714
Scotland,2010/11,cvd,91518
Scotland,2011/12,cvd,91688
Scotland,2012/13,cvd,90765
Scotland,2013/14,cvd,91252
Scotland,2014/15,cvd,89884
Scotland,2015/16,cvd,90805
Scotland,2016/17,cvd,84036
Scotland,2017/18,cvd,83624
Scotland,2018/19,cvd,83759
Scotland,2019/20,cvd,83099
Northern Ireland,2005/06,cvd,
Northern Ireland,2006/07,cvd,
Northern Ireland,2007/08,cvd,
Northern Ireland,2008/09,cvd,
Northern Ireland,2009/10,cvd,
Northern Ireland,2010/11,cvd,
Northern Ireland,2011/12,cvd,39000
Northern Ireland,2012/13,cvd,35700
Northern Ireland,2013/14,cvd,36800
Northern Ireland,2014/15,cvd,35800
Northern Ireland,2015/16,cvd,34700
Northern Ireland,2016/17,cvd,32800
Northern Ireland,2017/18,cvd,32100
Northern Ireland,2018/19,cvd,33000
Northern Ireland,2019/20,cvd,32505
UK,2005/06,chd,
UK,2006/07,chd,
UK,2007/08,chd,
UK,2008/09,chd,
UK,2009/10,chd,
UK,2010/11,chd,
UK,2011/12,chd,335851
UK,2012/13,chd,330552
UK,2013/14,chd,328162
UK,2014/15,chd,320939
UK,2015/16,chd,318154
UK,2016/17,chd,317115
UK,2017/18,chd,312763
UK,2018/19,chd,311519
UK,2019/20,chd,304745.2939045811
England,2005/06,chd,
England,2006/07,chd,
England,2007/08,chd,305988
England,2008/09,chd,300164
England,2009/10,chd,285426
England,2010/11,chd,279923
England,2011/12,chd,280794
England,2012/13,chd,276762
England,2013/14,chd,273873
England,2014/15,chd,269116
England,2015/16,chd,267016
England,2016/17,chd,266725
England,2017/18,chd,263656
England,2018/19,chd,261100
England,2019/20,chd,255562.29390458108
Wales,2005/06,chd,17428
Wales,2006/07,chd,17990
Wales,2007/08,chd,17945
Wales,2008/09,chd,17913
Wales,2009/10,chd,16811
Wales,2010/11,chd,16325
Wales,2011/12,chd,15601
Wales,2012/13,chd,14961
