nation,year_adjust,drug_type,prescriptions
England,2006,Digoxin and other positive inotropic drugs,4125.71
England,2007,Digoxin and other positive inotropic drugs,4140.757
England,2008,Digoxin and other positive inotropic drugs,4148.8
England,2009,Digoxin and other positive inotropic drugs,4119
England,2010,Digoxin and other positive inotropic drugs,4088
England,2011,Digoxin and other positive inotropic drugs,4006
England,2012,Digoxin and other positive inotropic drugs,3900
England,2013,Digoxin and other positive inotropic drugs,3769.881
England,2014,Digoxin and other positive inotropic drugs,3634
England,2015,Digoxin and other positive inotropic drugs,3460
England,2016,Digoxin and other positive inotropic drugs,3297.4970000000003
England,2017,Digoxin and other positive inotropic drugs,3147.636
England,2018,Digoxin and other positive inotropic drugs,3025.087
England,2019,Digoxin and other positive inotropic drugs,2906.664
Wales,2006,Digoxin and other positive inotropic drugs,356.616
Wales,2007,Digoxin and other positive inotropic drugs,336.941
Wales,2008,Digoxin and other positive inotropic drugs,319.184
Wales,2009,Digoxin and other positive inotropic drugs,306.943
Wales,2010,Digoxin and other positive inotropic drugs,295.875
Wales,2011,Digoxin and other positive inotropic drugs,283.792
Wales,2012,Digoxin and other positive inotropic drugs,273.236
Wales,2013,Digoxin and other positive inotropic drugs,260
Wales,2014,Digoxin and other positive inotropic drugs,249
Wales,2015,Digoxin and other positive inotropic drugs,235
Wales,2016,Digoxin and other positive inotropic drugs,224.337
Wales,2017,Digoxin and other positive inotropic drugs,215.436
Wales,2018,Digoxin and other positive inotropic drugs,203.409
Wales,2019,Digoxin and other positive inotropic drugs,202.882
Northern Ireland,2006,Digoxin and other positive inotropic drugs,103.52
Northern Ireland,2007,Digoxin and other positive inotropic drugs,101.116
Northern Ireland,2008,Digoxin and other positive inotropic drugs,99.29
Northern Ireland,2009,Digoxin and other positive inotropic drugs,96.01
Northern Ireland,2010,Digoxin and other positive inotropic drugs,94.858
Northern Ireland,2011,Digoxin and other positive inotropic drugs,93.385
Northern Ireland,2012,Digoxin and other positive inotropic drugs,92.274
Northern Ireland,2013,Digoxin and other positive inotropic drugs,90
Northern Ireland,2014,Digoxin and other positive inotropic drugs,88
Northern Ireland,2015,Digoxin and other positive inotropic drugs,82
Northern Ireland,2016,Digoxin and other positive inotropic drugs,79.549
Northern Ireland,2017,Digoxin and other positive inotropic drugs,75.4
Northern Ireland,2018,Digoxin and other positive inotropic drugs,72.467
Northern Ireland,2019,Digoxin and other positive inotropic drugs,69.957
Scotland,2006,Digoxin and other positive inotropic drugs,314.532
Scotland,2007,Digoxin and other positive inotropic drugs,304.722
Scotland,2008,Digoxin and other positive inotropic drugs,295.833
Scotland,2009,Digoxin and other positive inotropic drugs,291.416
Scotland,2010,Digoxin and other positive inotropic drugs,283.201
Scotland,2011,Digoxin and other positive inotropic drugs,276
Scotland,2012,Digoxin and other positive inotropic drugs,268.79
Scotland,2013,Digoxin and other positive inotropic drugs,259.869
Scotland,2014,Digoxin and other positive inotropic drugs,252
Scotland,2015,Digoxin and other positive inotropic drugs,246
Scotland,2016,Digoxin and other positive inotropic drugs,240.984
Scotland,2017,Digoxin and other positive inotropic drugs,236.069
Scotland,2018,Digoxin and other positive inotropic drugs,227.52
Scotland,2019,Digoxin and other positive inotropic drugs,227.806
England,2006,Diuretics,37581.84
England,2007,Diuretics,37354.653
England,2008,Diuretics,37536.1
England,2009,Diuretics,37511
England,2010,Diuretics,37687
England,2011,Diuretics,37563
England,2012,Diuretics,37258
England,2013,Diuretics,36650.249
England,2014,Diuretics,36208
England,2015,Diuretics,35327
England,2016,Diuretics,34508.97000000002
England,2017,Diuretics,33353.505
England,2018,Diuretics,32353.379
England,2019,Diuretics,31572.954
Wales,2006,Diuretics,3090.966
Wales,2007,Diuretics,3027.611
Wales,2008,Diuretics,3000.448
Wales,2009,Diuretics,2978.59
Wales,2010,Diuretics,2970.531
Wales,2011,Diuretics,2960.009
Wales,2012,Diuretics,2939.695
Wales,2013,Diuretics,2897
Wales,2014,Diuretics,2866
Wales,2015,Diuretics,2782
Wales,2016,Diuretics,2704.27
Wales,2017,Diuretics,2617.818
Wales,2018,Diuretics,2508.693
Wales,2019,Diuretics,2475.963
Northern Ireland,2006,Diuretics,1009.112
Northern Ireland,2007,Diuretics,992.366
Northern Ireland,2008,Diuretics,982.946
Northern Ireland,2009,Diuretics,983.391
Northern Ireland,2010,Diuretics,991.683
Northern Ireland,2011,Diuretics,1002.082
Northern Ireland,2012,Diuretics,996.158
Northern Ireland,2013,Diuretics,978
Northern Ireland,2014,Diuretics,961
Northern Ireland,2015,Diuretics,940
Northern Ireland,2016,Diuretics,926.339
Northern Ireland,2017,Diuretics,908.213
Northern Ireland,2018,Diuretics,895.521
Northern Ireland,2019,Diuretics,898.179
Scotland,2006,Diuretics,3810.415
Scotland,2007,Diuretics,3680.15
Scotland,2008,Diuretics,3597.049
Scotland,2009,Diuretics,3544.123
Scotland,2010,Diuretics,3457.14
Scotland,2011,Diuretics,3382
Scotland,2012,Diuretics,3268.798
Scotland,2013,Diuretics,3154.492
Scotland,2014,Diuretics,3057
Scotland,2015,Diuretics,2942
Scotland,2016,Diuretics,2847.835
Scotland,2017,Diuretics,2740.078
Scotland,2018,Diuretics,2642.791
Scotland,2019,Diuretics,2626.061
England,2006,Anti-arrhythmic drugs,1265.3169999999993
England,2007,Anti-arrhythmic drugs,1247.261
England,2008,Anti-arrhythmic drugs,1226.2
England,2009,Anti-arrhythmic drugs,1188
England,2010,Anti-arrhythmic drugs,1174
England,2011,Anti-arrhythmic drugs,1156
England,2012,Anti-arrhythmic drugs,1129
England,2013,Anti-arrhythmic drugs,1107.243
England,2014,Anti-arrhythmic drugs,1088
England,2015,Anti-arrhythmic drugs,1061
England,2016,Anti-arrhythmic drugs,1047.5739999999998
England,2017,Anti-arrhythmic drugs,1009.29
England,2018,Anti-arrhythmic drugs,987.196
England,2019,Anti-arrhythmic drugs,971.117
Wales,2006,Anti-arrhythmic drugs,93.938
Wales,2007,Anti-arrhythmic drugs,87.248
Wales,2008,Anti-arrhythmic drugs,81.146
Wales,2009,Anti-arrhythmic drugs,74.591
Wales,2010,Anti-arrhythmic drugs,68.295
Wales,2011,Anti-arrhythmic drugs,64.077
Wales,2012,Anti-arrhythmic drugs,62.076
Wales,2013,Anti-arrhythmic drugs,61
Wales,2014,Anti-arrhythmic drugs,61
Wales,2015,Anti-arrhythmic drugs,60
Wales,2016,Anti-arrhythmic drugs,59.21
Wales,2017,Anti-arrhythmic drugs,58.105
Wales,2018,Anti-arrhythmic drugs,56.468
Wales,2019,Anti-arrhythmic drugs,57.389
Northern Ireland,2006,Anti-arrhythmic drugs,36.101
Northern Ireland,2007,Anti-arrhythmic drugs,34.793
Northern Ireland,2008,Anti-arrhythmic drugs,33.936
Northern Ireland,2009,Anti-arrhythmic drugs,32.37
Northern Ireland,2010,Anti-arrhythmic drugs,30.656
Northern Ireland,2011,Anti-arrhythmic drugs,31.753
Northern Ireland,2012,Anti-arrhythmic drugs,31.003
Northern Ireland,2013,Anti-arrhythmic drugs,30
Northern Ireland,2014,Anti-arrhythmic drugs,29
Northern Ireland,2015,Anti-arrhythmic drugs,28
Northern Ireland,2016,Anti-arrhythmic drugs,27.546
Northern Ireland,2017,Anti-arrhythmic drugs,26.686
Northern Ireland,2018,Anti-arrhythmic drugs,26.367
Northern Ireland,2019,Anti-arrhythmic drugs,25.493
Scotland,2006,Anti-arrhythmic drugs,85.312
Scotland,2007,Anti-arrhythmic drugs,80.76
Scotland,2008,Anti-arrhythmic drugs,77.448
Scotland,2009,Anti-arrhythmic drugs,72.708
Scotland,2010,Anti-arrhythmic drugs,70.491
Scotland,2011,Anti-arrhythmic drugs,71
Scotland,2012,Anti-arrhythmic drugs,68.62
Scotland,2013,Anti-arrhythmic drugs,68.043
Scotland,2014,Anti-arrhythmic drugs,67
Scotland,2015,Anti-arrhythmic drugs,66
Scotland,2016,Anti-arrhythmic drugs,66.335
Scotland,2017,Anti-arrhythmic drugs,65.448
