nation,condition,year,sex,asdr,Unnamed: 5
England,all_cvd,1969,Male,1244.672,
England,all_cvd,1971,Male,1210.023,
England,all_cvd,1973,Male,1208.624,
England,all_cvd,1975,Male,1177.919,
England,all_cvd,1977,Male,1113.824,
England,all_cvd,1979,Male,1121.234,
England,all_cvd,1981,Male,1045.817,
England,all_cvd,1983,Male,1008.379,
England,all_cvd,1985,Male,993.8508,
England,all_cvd,1987,Male,913.5312,
England,all_cvd,1989,Male,867.0881,
England,all_cvd,1991,Male,839.7933,
England,all_cvd,1993,Male,805.2338,
England,all_cvd,1994,Male,748.792240278894,
England,all_cvd,1995,Male,737.508981917286,
England,all_cvd,1996,Male,721.0483230857676,
England,all_cvd,1997,Male,684.7463264395378,
England,all_cvd,1998,Male,664.9245686727699,
England,all_cvd,1999,Male,637.0943348049076,
England,all_cvd,2000,Male,600.7826156348198,
England,all_cvd,2001,Male,612.1147366806991,
England,all_cvd,2002,Male,598.9953738371478,
England,all_cvd,2003,Male,574.1566059691771,
England,all_cvd,2004,Male,532.7129934257122,
England,all_cvd,2005,Male,503.6169074247536,
England,all_cvd,2006,Male,473.0825134407447,
England,all_cvd,2007,Male,451.00329227333754,
England,all_cvd,2008,Male,439.545232354601,
England,all_cvd,2009,Male,410.7963582437961,
England,all_cvd,2010,Male,399.18386665219055,
England,all_cvd,2011,Male,361.16944846815005,
England,all_cvd,2012,Male,354.8992936442399,
England,all_cvd,2013,Male,352.44221621361123,
England,all_cvd,2014,Male,338.29164719665096,
England,all_cvd,2015,Male,341.148825408052,
England,all_cvd,2016,Male,326.06060123465596,
England,all_cvd,2017,Male,321.25903295573517,
England,all_cvd,2018,Male,314.96816078891624,
England,all_cvd,2019,Male,301.80926467222787,
England,all_cvd,1969,Female,861.0868,
England,all_cvd,1971,Female,816.6653,
England,all_cvd,1973,Female,820.6245,
England,all_cvd,1975,Female,783.9282,
England,all_cvd,1977,Female,739.9105,
England,all_cvd,1979,Female,732.6768,
England,all_cvd,1981,Female,678.0071,
England,all_cvd,1983,Female,648.2121,
England,all_cvd,1985,Female,641.4048,
England,all_cvd,1987,Female,585.2421,
England,all_cvd,1989,Female,562.0878,
