nation,condition,year,sex,asdr
England,all_cvd,1969,Male,484.8791
England,all_cvd,1971,Male,472.1166
England,all_cvd,1973,Male,471.625
England,all_cvd,1975,Male,459.4817
England,all_cvd,1977,Male,445.1154
England,all_cvd,1979,Male,447.4339
England,all_cvd,1981,Male,418.1741
England,all_cvd,1983,Male,403.8525
England,all_cvd,1985,Male,384.1181
England,all_cvd,1987,Male,358.0857
England,all_cvd,1989,Male,329.2087
England,all_cvd,1991,Male,308.9631
England,all_cvd,1993,Male,293.3559
England,all_cvd,1994,Male,297.45388791766334
England,all_cvd,1995,Male,290.80934625545734
England,all_cvd,1996,Male,280.1810268820501
England,all_cvd,1997,Male,262.71616645518196
England,all_cvd,1998,Male,252.51517083471407
England,all_cvd,1999,Male,238.21970460912183
England,all_cvd,2000,Male,223.25040724713702
England,all_cvd,2001,Male,212.99730649088684
England,all_cvd,2002,Male,202.35960333164837
England,all_cvd,2003,Male,191.67468106557297
England,all_cvd,2004,Male,177.88466155820797
England,all_cvd,2005,Male,165.60360387228576
England,all_cvd,2006,Male,154.58346112669238
England,all_cvd,2007,Male,145.95099609791737
England,all_cvd,2008,Male,138.18578062428497
England,all_cvd,2009,Male,130.02851790304405
England,all_cvd,2010,Male,126.83052658765251
England,all_cvd,2011,Male,115.41215707038278
England,all_cvd,2012,Male,109.59611040462497
England,all_cvd,2013,Male,109.42573672185249
England,all_cvd,2014,Male,105.82842848998591
England,all_cvd,2015,Male,105.01728455906682
England,all_cvd,2016,Male,103.39994744870341
England,all_cvd,2017,Male,101.50610081654156
England,all_cvd,2018,Male,102.8119573239167
England,all_cvd,2019,Male,98.8927532193584
England,all_cvd,1969,Female,237.8309
England,all_cvd,1971,Female,222.3471
England,all_cvd,1973,Female,222.2704
England,all_cvd,1975,Female,211.2226
England,all_cvd,1977,Female,202.9677
England,all_cvd,1979,Female,201.4916
England,all_cvd,1981,Female,186.5601
England,all_cvd,1983,Female,179.0945
England,all_cvd,1985,Female,170.4657
England,all_cvd,1987,Female,159.832
England,all_cvd,1989,Female,150.2915
England,all_cvd,1991,Female,140.6804
England,all_cvd,1993,Female,133.8235
England,all_cvd,1994,Female,137.01408309326123
England,all_cvd,1995,Female,133.33456064850574
England,all_cvd,1996,Female,129.76137833699002
England,all_cvd,1997,Female,122.769587754674
England,all_cvd,1998,Female,119.1734280979246
England,all_cvd,1999,Female,111.03552749147786
England,all_cvd,2000,Female,102.78282558960089
England,all_cvd,2001,Female,98.8621489546201
England,all_cvd,2002,Female,93.55841574826727
England,all_cvd,2003,Female,88.93178976094063
England,all_cvd,2004,Female,80.79322036867892
England,all_cvd,2005,Female,75.93285916266987
England,all_cvd,2006,Female,71.33259081347491
England,all_cvd,2007,Female,66.43607782054848
England,all_cvd,2008,Female,63.153620853397015
England,all_cvd,2009,Female,57.46755371307107
England,all_cvd,2010,Female,55.90006490432651
England,all_cvd,2011,Female,51.64789448890563
England,all_cvd,2012,Female,50.681127252383575
England,all_cvd,2013,Female,48.5928251832207
England,all_cvd,2014,Female,46.943266784553785
England,all_cvd,2015,Female,47.92001268417989
England,all_cvd,2016,Female,46.94418555406207
England,all_cvd,2017,Female,45.33072591771283
England,all_cvd,2018,Female,45.49006758533238
England,all_cvd,2019,Female,43.77500297125035
Northern Ireland,all_cvd,1969,Male,566.1672
Northern Ireland,all_cvd,1971,Male,549.1797
Northern Ireland,all_cvd,1973,Male,576.451
Northern Ireland,all_cvd,1975,Male,567.0779
Northern Ireland,all_cvd,1977,Male,587.8397
Northern Ireland,all_cvd,1979,Male,582.8712
Northern Ireland,all_cvd,1981,Male,533.7618
Northern Ireland,all_cvd,1983,Male,494.577
Northern Ireland,all_cvd,1985,Male,472.9071
Northern Ireland,all_cvd,1987,Male,423.6093
Northern Ireland,all_cvd,1989,Male,403.7139
Northern Ireland,all_cvd,1991,Male,352.9485
Northern Ireland,all_cvd,1993,Male,346.1967
Northern Ireland,all_cvd,1994,Male,353.12702306392197
Northern Ireland,all_cvd,1995,Male,346.33528444940464
Northern Ireland,all_cvd,1996,Male,309.86119178531027
Northern Ireland,all_cvd,1997,Male,310.0359168788569
Northern Ireland,all_cvd,1998,Male,287.0489459908676
Northern Ireland,all_cvd,1999,Male,275.20036842229695
Northern Ireland,all_cvd,2000,Male,238.07276862590135
Northern Ireland,all_cvd,2001,Male,220.58164266703648
Northern Ireland,all_cvd,2002,Male,219.60182907222145
